Wall time,Step,Value
1657785318.632085,1,0.0
1657785331.3852396,2,0.0
1657785343.7153845,3,-0.02666666731238365
1657785355.7378905,4,-0.4533333480358124
1657785368.0710795,5,0.0
1657785381.2575583,6,-0.07333333045244217
1657785394.558243,7,-0.31333333253860474
1657785407.7963312,8,0.0
1657785420.9450808,9,-0.019999999552965164
1657785434.5329578,10,-0.5066666603088379
1657785448.1656146,11,-1.0333333015441895
1657785461.331712,12,-0.2933333218097687
1657785473.497867,13,0.0
1657785485.158041,14,-0.30666667222976685
1657785498.4239094,15,-1.806666612625122
1657785509.615939,16,-0.08666666597127914
1657785521.7252378,17,-0.9733333587646484
1657785534.1737916,18,-1.0
1657785546.481496,19,-1.0666667222976685
1657785558.0732563,20,-0.2866666615009308
1657785570.0725057,21,0.0
1657785581.9291239,22,-0.31333333253860474
1657785593.5599625,23,-0.03999999910593033
1657785605.4476144,24,-0.30000001192092896
1657785617.740366,25,0.0
1657785630.4112365,26,-1.0266666412353516
1657785643.7069964,27,-1.746666669845581
1657785657.122924,28,-1.7400000095367432
1657785669.625405,29,-0.47333332896232605
1657785681.7903786,30,-0.30000001192092896
1657785693.1398432,31,-0.05999999865889549
1657785705.5398889,32,-1.0133333206176758
1657785719.5103185,33,-1.7599999904632568
1657785731.516138,34,0.0
1657785743.3696384,35,-0.30666667222976685
1657785758.139363,36,-1.746666669845581
1657785770.6847472,37,-0.4533333480358124
1657785785.1447213,38,-1.7733333110809326
1657785798.752685,39,-1.6866666078567505
1657785812.825212,40,-1.7400000095367432
1657785826.2548091,41,-1.746666669845581
1657785839.661816,42,-1.7400000095367432
1657785853.1430657,43,-1.8266667127609253
1657785867.102022,44,-1.7866666316986084
1657785880.7270403,45,-1.7200000286102295
1657785894.992559,46,-1.7400000095367432
1657785908.5397587,47,-1.7733333110809326
1657785920.0902884,48,-0.03999999910593033
1657785933.8345678,49,-1.7666666507720947
1657785945.1418576,50,-0.006666666828095913
1657785959.7237263,51,-1.7799999713897705
1657785974.3756354,52,-1.7733333110809326
1657785988.5223682,53,-1.753333330154419
1657786001.8096557,54,-1.7599999904632568
1657786015.0795302,55,-1.746666669845581
1657786027.6821184,56,-0.9866666793823242
1657786040.2432544,57,0.0
1657786053.7278411,58,-1.7666666507720947
1657786067.3332593,59,-1.753333330154419
1657786080.9345644,60,-1.7866666316986084
1657786094.1991036,61,-0.9933333396911621
1657786106.6377678,62,0.0
1657786118.715096,63,0.0
1657786131.3339133,64,0.0
1657786144.3662112,65,0.0
1657786156.8126273,66,0.0
1657786169.893167,67,0.0
1657786181.8742707,68,0.0
1657786194.2545707,69,-0.30000001192092896
1657786205.8373024,70,0.0
1657786218.825876,71,0.0
1657786230.969779,72,0.0
1657786243.373302,73,0.0
1657786255.7479255,74,0.0
1657786267.104612,75,0.0
1657786280.0336132,76,0.0
1657786292.0560534,77,0.0
1657786304.1853669,78,0.0
1657786315.6335962,79,0.0
1657786327.7734988,80,0.0
1657786341.0861075,81,0.0
1657786353.5239506,82,0.0
1657786366.329776,83,0.0
1657786378.1808233,84,-0.3333333432674408
1657786390.0796027,85,0.0
1657786402.3067164,86,0.0
1657786414.5088122,87,0.0
1657786426.0907438,88,0.0
1657786437.693671,89,0.0
1657786449.3199465,90,0.0
1657786460.6162832,91,0.0
1657786472.8589933,92,0.0
1657786484.1569774,93,0.0
1657786495.7143416,94,0.0
1657786507.240134,95,0.0
1657786519.3308458,96,0.0
1657786530.8286092,97,0.0
1657786542.4465184,98,0.0
1657786554.4467986,99,0.0
1657786566.0309157,100,0.0
1657786577.4121172,101,0.0
1657786588.952311,102,0.0
1657786600.9328787,103,0.0
1657786612.559545,104,0.0
1657786624.66787,105,0.0
1657786636.9472704,106,0.0
1657786648.6872723,107,0.0
1657786659.9892242,108,0.0
1657786672.3376527,109,0.0
1657786683.8965788,110,-0.30000001192092896
1657786695.848634,111,0.0
1657786707.6962097,112,-0.30000001192092896
1657786719.9771361,113,0.0
1657786731.3611877,114,0.0
1657786743.5476897,115,0.0
1657786755.2063308,116,0.0
1657786767.1550875,117,0.0
1657786779.4329925,118,0.0
1657786791.8148522,119,0.0
1657786803.008152,120,0.0
1657786815.0690222,121,0.0
1657786826.6456492,122,0.0
1657786838.6621988,123,0.0
1657786850.4133859,124,0.0
1657786862.513142,125,0.0
1657786874.593038,126,0.0
1657786885.878089,127,0.0
1657786898.073656,128,0.0
1657786910.3713977,129,0.0
1657786922.6165936,130,0.0
1657786934.149563,131,0.0
1657786945.7439394,132,0.0
